path,filename,artista,categoria,tipo,protezione,metodo_processamento
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_anna-ostroumova-lebedeva\0008.png,0008.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_anna-ostroumova-lebedeva\0009.png,0009.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_anna-ostroumova-lebedeva\0010.png,0010.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_anna-ostroumova-lebedeva\0012.png,0012.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_anna-ostroumova-lebedeva\0014.png,0014.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_anna-ostroumova-lebedeva\0015.png,0015.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edvard-munch\0001.png,0001.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edvard-munch\0002.png,0002.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edvard-munch\0003.png,0003.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edvard-munch\0006.png,0006.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edvard-munch\0008.png,0008.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edvard-munch\0009.png,0009.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edvard-munch\0010.png,0010.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edvard-munch\0012.png,0012.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edvard-munch\0014.png,0014.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edvard-munch\0015.png,0015.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edward-hopper\0001.png,0001.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edward-hopper\0002.png,0002.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edward-hopper\0003.png,0003.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edward-hopper\0006.png,0006.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edward-hopper\0008.png,0008.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edward-hopper\0009.png,0009.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edward-hopper\0010.png,0010.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edward-hopper\0012.png,0012.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edward-hopper\0014.png,0014.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\diffpure\wikiart_edward-hopper\0015.png,0015.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,diffpure
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_albrecht-durer\0001.png,0001.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_albrecht-durer\0002.png,0002.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_albrecht-durer\0003.png,0003.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_albrecht-durer\0006.png,0006.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_albrecht-durer\0008.png,0008.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_albrecht-durer\0009.png,0009.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_albrecht-durer\0010.png,0010.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_albrecht-durer\0012.png,0012.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_albrecht-durer\0014.png,0014.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_albrecht-durer\0015.png,0015.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_alphonse-mucha\0001.png,0001.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_alphonse-mucha\0002.png,0002.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_alphonse-mucha\0003.png,0003.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_alphonse-mucha\0006.png,0006.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_alphonse-mucha\0008.png,0008.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_alphonse-mucha\0009.png,0009.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_alphonse-mucha\0010.png,0010.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_alphonse-mucha\0012.png,0012.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_alphonse-mucha\0014.png,0014.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_alphonse-mucha\0015.png,0015.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_anna-ostroumova-lebedeva\0001.png,0001.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_anna-ostroumova-lebedeva\0002.png,0002.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_anna-ostroumova-lebedeva\0003.png,0003.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_anna-ostroumova-lebedeva\0006.png,0006.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_anna-ostroumova-lebedeva\0008.png,0008.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_anna-ostroumova-lebedeva\0009.png,0009.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_anna-ostroumova-lebedeva\0010.png,0010.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_anna-ostroumova-lebedeva\0012.png,0012.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_anna-ostroumova-lebedeva\0014.png,0014.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_anna-ostroumova-lebedeva\0015.png,0015.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edvard-munch\0001.png,0001.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edvard-munch\0002.png,0002.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edvard-munch\0003.png,0003.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edvard-munch\0006.png,0006.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edvard-munch\0008.png,0008.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edvard-munch\0009.png,0009.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edvard-munch\0010.png,0010.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edvard-munch\0012.png,0012.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edvard-munch\0014.png,0014.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edvard-munch\0015.png,0015.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edward-hopper\0001.png,0001.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edward-hopper\0002.png,0002.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edward-hopper\0003.png,0003.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edward-hopper\0006.png,0006.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edward-hopper\0008.png,0008.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edward-hopper\0009.png,0009.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edward-hopper\0010.png,0010.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edward-hopper\0012.png,0012.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edward-hopper\0014.png,0014.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\gaussian_noise_0.05\wikiart_edward-hopper\0015.png,0015.png,wikiart_edward-hopper,Generated,Robust-Mimicry,antidb,gaussian_noise_0.05
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_albrecht-durer\0.5\0001.png,0001.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_albrecht-durer\0.5\0002.png,0002.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_albrecht-durer\0.5\0003.png,0003.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_albrecht-durer\0.5\0006.png,0006.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_albrecht-durer\0.5\0008.png,0008.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_albrecht-durer\0.5\0009.png,0009.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_albrecht-durer\0.5\0010.png,0010.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_albrecht-durer\0.5\0012.png,0012.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_albrecht-durer\0.5\0014.png,0014.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_albrecht-durer\0.5\0015.png,0015.png,wikiart_albrecht-durer,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_alphonse-mucha\0.5\0001.png,0001.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_alphonse-mucha\0.5\0002.png,0002.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_alphonse-mucha\0.5\0003.png,0003.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_alphonse-mucha\0.5\0006.png,0006.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_alphonse-mucha\0.5\0008.png,0008.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_alphonse-mucha\0.5\0009.png,0009.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_alphonse-mucha\0.5\0010.png,0010.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_alphonse-mucha\0.5\0012.png,0012.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_alphonse-mucha\0.5\0014.png,0014.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_alphonse-mucha\0.5\0015.png,0015.png,wikiart_alphonse-mucha,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_anna-ostroumova-lebedeva\0.5\0001.png,0001.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_anna-ostroumova-lebedeva\0.5\0002.png,0002.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_anna-ostroumova-lebedeva\0.5\0003.png,0003.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_anna-ostroumova-lebedeva\0.5\0006.png,0006.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_anna-ostroumova-lebedeva\0.5\0008.png,0008.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_anna-ostroumova-lebedeva\0.5\0009.png,0009.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_anna-ostroumova-lebedeva\0.5\0010.png,0010.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_anna-ostroumova-lebedeva\0.5\0012.png,0012.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_anna-ostroumova-lebedeva\0.5\0014.png,0014.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_anna-ostroumova-lebedeva\0.5\0015.png,0015.png,wikiart_anna-ostroumova-lebedeva,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_edvard-munch\0.5\0001.png,0001.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_edvard-munch\0.5\0002.png,0002.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,impress++
C:\Users\Flavio\Desktop\datasetTotale\generated_images\antidb\impress++\wikiart_edvard-munch\0.5\0003.png,0003.png,wikiart_edvard-munch,Generated,Robust-Mimicry,antidb,impress++
